Accident Number,Event Date,Investigation Type,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Fatal,Aircraft Damage,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Final Narrative,Narrative Cause
FTW01LA128,05/24/2001,Accident,"Wichita Falls, TX",United States,33.95° N,98.62° W,,,Fatal(2),Fatal,Destroyed,N197DB,Blucher,KR-2S,Yes,1,Reciprocating,Personal,2,,,,VMC,MANEUVERING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

A witness observed the airplane in a ""steep climb and high bank angle"" when the engine lost power.  The airplane spiraled down and impacted the ground ""relatively flat"".   Examination of the airplane's fuel system by an FAA inspector revealed that the fuselage fuel tank was compromised, and the fuel lines to the wing fuel tanks were fractured.   A law enforcement officer and emergency medical service personnel, who responded to the accident site, reported that there was an odor of fuel when they arrived on scene.   Flight control continuity was established; however, the reason for the loss of engine power was not determined.  According to the FAA inspector, the pilot had logged a total of 62 flight hours, of which 5 hours were in the same make and model as the accident airplane.

.","the pilot's failure to maintain aircraft control following a loss of engine power while maneuvering, which resulted in an inadvertent stall/spin.  Contributing factors to the accident were the loss of engine power for undetermined reasons, and the pilot's lack of total experience in the make and model of the accident airplane."
LAX01LA191,05/24/2001,Accident,"Cottonwood, AZ",United States,34.73° N,112.04° W,P52,Cottonwood,Non-Fatal,Non-Fatal,Substantial,N506ER,Cessna,172S,No,1,Reciprocating,Instructional,,1,1,,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The airplane impacted terrain during an attempted rejected landing after the student loss control of the airplane during a landing roll.  The flight instructor reported the student conducted a uneventful landing on runway 14 with proper control inputs and had placed the aircraft within 3 feet of centerline.  As the airplane's nose wheel settled on the runway, the right wing ""suddenly lifted, the aircraft rotated to the left, and [the airplane was] airborne.""  The flight instructor took control of the aircraft, applied full power, lowered the nose, and attempted to regain control of the airplane.  As he maneuvered the aircraft to the left toward a clearing away from a building, the airplane impacted the ground with the left wing first, followed by the nose.  The student had utilized 30 degrees of flaps during the landing and had not raised the flaps during the landing roll.  A witness indicated that their flights were cancelled that day due to the gusty crosswind conditions.  The closest weather observation facility reported the wind from 230 degrees (variable between 200 and 260 degrees) at 10 knots gusting to 20 knots.  The flight school's Airplane Maneuvers Guide, under a section titled ""Normal and Crosswind Approach and Landing,"" had a note indicating, ""CROSSWIND CONDITIONS MAY REQUIRE A REDUCED FLAP SETTING FOR APPROACH AND LANDING.  CARE MUST BE EXCERCISED TO ENSURE ADEQUATE RUNWAY LENGTH.""  The section also indicates, ""Gusty wind conditions may require a touchdown at a slightly higher speed than normal (5-10 KIAS above power-off stall speed) and a slightly lower than normal pitch attitude.  A reduced flap setting may also be necessary.""  The Pilot Information Manual for the accident airplane indicates that the maximum demonstrated crosswind component was 15 knots.  Review of the student's flight records revealed he had received an unsatisfactory rating during a stage check flight about 1 month prior to the accident.  One of the reasons listed for the unsatisfactory rating was ""improper x-wind (crosswind) correction during taxi.""",the student's inadequate compensation for the gusty crosswind conditions and the subsequent loss of aircraft control during landing roll.  The flight instructor’s inadequate supervision and his inadequate remedial action is also causal.  Contributing factors were the gusty and crosswind weather conditions.
SEA01LA104,05/24/2001,Accident,"Bremerton, WA",United States,,,PWT,Bremerton National,Non-Fatal,Non-Fatal,Destroyed,N816JC,Curtis,Lionheart,Yes,1,Reciprocating,Personal,,,,1,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The flight during which the accident took place was the maiden flight for the recently completed tailwheel-equipped experimental aircraft. After flying familiarization maneuvers for about 30 minutes, the pilot returned to the departure airfield, where he made two preplanned low approaches in order to establish the best indicated airspeed for his first landing. During his third approach, which was intended to terminate in a full-stop landing, the pilot was high on final. He therefore applied right rudder to slip the aircraft in order to lose altitude. Although the pilot eliminated most of the slip as he flared the aircraft for landing, as it floated down the runway, he inadvertently allowed the nose to begin rotating to the right. Then, just before the aircraft touched down, the nose of the aircraft rotated further to the right. The aircraft touched down in a significant right crab and immediately rocked up onto its left main gear. At the same time, it started increasing its rate of turn to the right. About 275 feet from where the aircraft touched down, the left main gear experienced an overload failure, followed immediately by the right. As the right main gear collapsed, it tore a portion of the right wing fuel tank wall loose, and a large volume of fuel was released into the wheel well. As the right wing settled to the asphalt surface, a massive fire broke out, which ultimately consumed the aircraft. It was later determined that the pilot had made only four landings in a tailwheel equipped aircraft in the last year, none of which were in the make and model he was flying at the time of the accident. It was further determined that the pilot attempted the landing in a tailwind of approximately five knots.","the pilot's failure to ensure the aircraft's longitudinal axis was aligned with the runway prior to touchdown, and his failure to maintain directional control during the landing roll. Factors include landing with a tailwind, and the pilot's lack of recent experience in the particular make and model aircraft.  A factor in the severity of the post-accident fire was the kit manufacturer's inadequate  design, which allowed the excessive side-load failure of a main gear leg to pull a portion of the wall from a wing fuel tank."
DEN01LA104,05/25/2001,Accident,"West Jordan, UT",United States,,,U42,SALT LAKE CITY MUNI 2,Non-Fatal,Non-Fatal,Substantial,N9181E,Maule,M-5-235C,No,1,Reciprocating,Personal,,,,2,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot noted the wind sock indicated the wind was about 20 degrees left of runway centerline. After making a normal crosswind landing, the airplane nosed to the right and he made a correction. When the airplane assumed a three point attitude, it veered to the left. He corrected with right rudder ""without letting the wind under left wing"" but it had no effect and the airplane departed the runway and nosed over. The pilot said the bolt securing the tail wheel leaf spring had sheared and the tail wheel was driven up against the rudder. A search of the area failed to locate the nut or the bolt end. He said the break was an ""extrusion and clean downward shear,"" but an FAA inspector who examined the airplane stated the damage was consistent with that of a hard landing. Official recorded winds were 320 degrees at 7 knots, with gusts to 14 knots.","the pilot inadvertently flaring the airplane too high above the ground, resulting in a hard landing that sheared a bolt in the tail wheel assembly. This rendered directional control impossible and induced an uncontrolled ground loop. A contributing factor was the crosswind."
LAX01LA192,05/25/2001,Accident,"Mariposa, CA",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N23474,Cessna,150H,No,1,Reciprocating,Personal,,,,1,VMC,CRUISE,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The engine lost power due to fuel exhaustion after 2.1 hours of flight and 16-miles before reaching the intended destination.  The pilot attributed the fuel exhaustion to an interruption that occurred during his (self) fueling of the aircraft, which resulted in the fuel tanks not being totally full on takeoff.  As he was filling the left wing fuel tank before takeoff, the pilot was interrupted by another pilot who asked his assistance with operation of the self-fueling equipment.  He completed filling the left tank and stopped to assist the other pilot.  He returned to his airplane about 10 or 15 minutes later, filled the right-wing tank, and departed.  The pilot believed that, during the  interruption, a portion of the fuel in the left tank flowed across the aircraft to the right tank and, after he filled the right tank, the left tank was approximately 5 gallons below capacity.  He reported making the same trip regularly.  Assuming a zero to 5-knot headwind, the trip routinely required 20.3 or 20.4 gallons to complete.  The aircraft had been modified to install a larger engine than the original and had a 24-gallon usable fuel capacity.  The pilot reported that, on past flights at the same altitude and power setting, the engine consumed 9.17 gallons per hour (2.6 hours endurance).","The pilot's failure to properly refuel the aircraft which resulted in departure with an inadequate quantity of fuel onboard.  A factor in the accident was the pilot's inadequate preflight preparation and planning, which failed to provide an adequate fuel reserve for the flight intended."
NYC01IA134,05/25/2001,Incident,"Harrisburg, PA",United States,,,MDT,Harrisburg International,Incident,Non-Fatal,Minor,N277FE,Boeing,727-233,No,3,Turbo Jet,,,,,3,VMC,STANDING,"NTSB investigators used data provided by various sources and may not have traveled in support of this investigation to prepare this aircraft incident report.

While a mechanic was performing a ""Predispatch Ops Check"" on the airplane from the cockpit, ground personnel notified him that smoke was observed coming from the aft stairwell.  Fire extinguishing agents were applied to the area and the fire was contained.  Examination of the airplane after the incident revealed that the insulation on a wire to the standby hydraulic system electric motor pump had chafed through, allowing the wire conductor to contact a hydraulic system ""A"" case drain return line.  Approximately four feet above the hydraulic line, a 1-inch by 3/16 inch hole was observed in the backside of a reservoir pressurization line, which was fed by a 13th stage bleed-air line. According to Equipment Quality Analysis Reports submitted by Boeing, the chafing between the standby hydraulic pump electrical power wire, and the hydraulic system ""A"" case drain return line, exposed the standby pump conductor wire and resulted in electrical arcing/puncture to the system ""A"" return line, followed by ignition to the mist of hydraulic oil leaking from the hole in the line.  The wire bundle/tube chafing condition appeared to have occurred from inadvertent mis-routing of the wire bundle during maintenance activity.","The inadvertent misrouting of a wire harness by maintenance personnel, which resulted in chafing to a hydraulic line and electrical wire, and subsequent fire."
ATL01LA061,05/26/2001,Accident,"JACKSON, MS",United States,,,HKS,HAWKINS,Non-Fatal,Non-Fatal,Substantial,N503CM,CONRAD MENZEL,SA-300 STARDUSTER,Yes,1,Reciprocating,Personal,,,,1,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

During the landing roll, a wind gust was encountered and  the airplane  turned into the wind. Attempts by the pilot to control the airplane on the runway failed. The left main gear collapsed on the runway. Observed wind conditions at the scene were 270 degrees at 12 knots with gusts. Runway 16 was in use at the controlled airport and runway 29 was also available.",The pilot failure to maintain directional control during a crosswind landing.
FTW01FA129A,05/26/2001,Accident,"Pryor, OK",United States,36.22° N,95.31° W,H71,Mid-America Industrial,Fatal(1),Fatal,Destroyed,N5617E,Cessna,150,No,1,Reciprocating,Other Work Use,1,,1,,VMC,TAKEOFF,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

The glider pilot reported that during takeoff, he had to maintain a crab of 15 degrees into the wind in order to track down the runway centerline.  Shortly after lift-off, the glider gained altitude abruptly and ascended to an altitude above the tow airplane.  The glider pilot reported that he had encountered ""severe turbulence"" and was caught in an ""extreme updraft.""  He remembered looking up at the sky, losing sight of the tow airplane, and being ""jarred about the cockpit"" while attempting to disengage the towrope.  He recalled that his altimeter was indicating 440 feet agl approximately midway down the runway at the time he released the towrope, and he estimated the tow airplane to be 150 feet lower than his glider.  The glider completed a normal traffic pattern and landed on the runway.  The glider pilot mentioned that his glider had a tendency for the trim lever to release from its ""full nose down"" trim position, which is the recommended takeoff trim lever position, and ""snatch"" back to the ""full nose up"" position.  He remembered having to push forward during the initial climb to counteract a nose up effect.  A witness observed the glider gain altitude ""relatively abrupt"" and was able to detect that the glider was ""decidedly higher"" than the tow airplane.  He saw the glider break away to the east and thought the problem was over.  He continued to observe the tow airplane and stated that  from his position the airplane appeared to level off momentarily, and then ""nose dived and impacted the ground.""  A pilot, whose tow flight had departed just prior to the accident, reported that the wind was approximately 9 knots, and he did not experience any turbulence or gusty wind conditions.  A functional check of the glider's trim operation was completed by placing the trim lever in the full nose down position (takeoff position) and then hand-tightened the wing nut, which is used to lock the lever in place.  The control stick was then pulled aft, and the trim lever would release almost immediately.  This procedure was repeated several times with the same result.  The airplane's tow hook was found partially separated from the tail.   Examination of the towrope revealed that the breakable link was broken.","the failure of the glider pilot to maintain aircraft control and his delay in releasing the towrope.  A contributing factor was the glider's worn elevator trim friction, which resulted in its disengagement."
FTW01FA129B,05/26/2001,Accident,"Pryor, OK",United States,36.22° N,95.31° W,H71,Mid-America Industrial,Fatal(1),Fatal,,N9915X,Schleicher,Ka-6E,No,0,,Personal,1,,1,,VMC,TAKEOFF,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

The glider pilot reported that during takeoff, he had to maintain a crab of 15 degrees into the wind in order to track down the runway centerline.  Shortly after lift-off, the glider gained altitude abruptly and ascended to an altitude above the tow airplane.  The glider pilot reported that he had encountered ""severe turbulence"" and was caught in an ""extreme updraft.""  He remembered looking up at the sky, losing sight of the tow airplane, and being ""jarred about the cockpit"" while attempting to disengage the towrope.  He recalled that his altimeter was indicating 440 feet agl approximately midway down the runway at the time he released the towrope, and he estimated the tow airplane to be 150 feet lower than his glider.  The glider completed a normal traffic pattern and landed on the runway.  The glider pilot mentioned that his glider had a tendency for the trim lever to release from its ""full nose down"" trim position, which is the recommended takeoff trim lever position, and ""snatch"" back to the ""full nose up"" position.  He remembered having to push forward during the initial climb to counteract a nose up effect.  A witness observed the glider gain altitude ""relatively abrupt"" and was able to detect that the glider was ""decidedly higher"" than the tow airplane.  He saw the glider break away to the east and thought the problem was over.  He continued to observe the tow airplane and stated that  from his position the airplane appeared to level off momentarily, and then ""nose dived and impacted the ground.""  A pilot, whose tow flight had departed just prior to the accident, reported that the wind was approximately 9 knots, and he did not experience any turbulence or gusty wind conditions.  A functional check of the glider's trim operation was completed by placing the trim lever in the full nose down position (takeoff position) and then hand-tightened the wing nut, which is used to lock the lever in place.  The control stick was then pulled aft, and the trim lever would release almost immediately.  This procedure was repeated several times with the same result.  The airplane's tow hook was found partially separated from the tail.   Examination of the towrope revealed that the breakable link was broken.","the failure of the glider pilot to maintain aircraft control and his delay in releasing the towrope.  A contributing factor was the glider's worn elevator trim friction, which resulted in its disengagement."
SEA01LA105,05/26/2001,Accident,"Portland, OR",United States,,,PDX,Portland Intl,Non-Fatal,Non-Fatal,Substantial,N761DL,Cessna,T210M,No,1,Reciprocating,Personal,,,,5,VMC,APPROACH,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

On approach to the destination, the landing gear, which is extended by hydraulic actuators powered by an electrically-powered hydraulic power pack, failed to extend.  Attempts to recycle the gear and to employ the emergency gear extension procedure (utilizing a hand-operated emergency hydraulic pump) were unsuccessful.  The pilot then checked the fluid level in the hydraulic reservoir and found the reservoir empty.  He attempted to refill it with various available fluids, but this also proved ineffective in restoring landing gear operation.  A passenger succeeded in opening the cabin door and manually pulling the right main gear into the down-and-locked position; the pilot was also able to pull the left main gear into the down position, but the left main gear would not lock down.  The pilot subsequently diverted to Portland International Airport (PDX) and performed an emergency landing on runway 28R, an 8,000- by 150-foot grooved asphalt runway.  During the emergency landing, the aircraft dropped to a 30-degree left wing down attitude upon touchdown, then turned 180 degrees to the left and came to rest in the grass alongside the runway, sustaining substantial damage in the landing.  The pilot reported that a post-accident inspection revealed that a hydraulic line in the nose gear well had burst, allowing a total loss of hydraulic fluid from the system.","A burst hydraulic line and consequent total loss of hydraulic fluid from the landing gear, which disabled landing gear operation."
CHI01LA147,05/27/2001,Accident,"Protem, MO",United States,,,,,Fatal(1),Fatal,Destroyed,N23033,Cessna,150H,No,1,Reciprocating,Personal,1,1,,,VMC,MANEUVERING,"NTSB investigators may not have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The airplane was destroyed when it impacted trees and terrain after a loss of control while maneuvering.  The pilot said that he and his passenger  were flying near his house at 800 feet above ground level so that the passenger could photograph the residence.  The pilot said that he reduced airspeed and lowered 10-15 degrees of flaps, keeping the airspeed at the upper end of the flap operating range.  The pilot stated that he executed a turn to the left.  The pilot stated that when he began the left turn, he heard a, ""loud pop in the left wing.""  He said that the control yoke was, ""jerked out of [his] hand to the full left stop.""  The pilot said that the airplane continued to roll to the left even with full right aileron input.  He stated that he lowered the flaps in an effort to, ""slow [the airplane] down a little and therefore lessen the impact. However, all this did was intensify the roll.""  The airplane subsequently impacted trees and terrain. The flap control system was examined and a break in the flap control cable was observed.  The broken flap cable and the right hand inboard pulley and bracket assembly were retained for further examination.  No other anomalies were found.  The broken flap cable, flap pulley, and pulley bracket were examined at the National Transportation Safety Board's Materials Laboratory in Washington, D.C.  The cable break contained signatures consistent with overstress failure.  The pulley bracket had a crescent wear mark adjacent to but outside of the cotter pin intended to retain the cable in the pulley groove.  The wear mark was covered with a black residue and its appearance was not fresh.  No wear was observed on the cotter pin.",The overload of the flap control cable for undetermined reasons resulting in aircraft control not being possible.  The trees were a factor.
CHI01LA148,05/27/2001,Accident,"Patriot, IN",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N6154Q,Cessna,152,No,1,Reciprocating,Personal,,,,2,VMC,TAKEOFF,"NTSB investigators may not have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot attempted a takeoff from an unimproved private landing strip described as a gravel road approximately 1,800 feet by 14 feet in dimension.  A left quartering headwind of 7 knots  with a gust of 18 knots prevailed at the time of the accident..  Upon liftoff, the airplane drifted off the right side of the gravel road and the right main landing gear contact 6 inch high grass.  The pilot also reported that his biennial flight review had expired.",the inadequate rotation speed and compensation for wind conditions by the pilot.  Contributing factors were the crosswind and gust.
CHI01LA149,05/27/2001,Accident,"Kankakee, IL",United States,,,IKK,GREATER KANKAKEE,Fatal(1),Fatal,Destroyed,N77VZ,Geertz,Zenith CH 200,Yes,1,Reciprocating,Personal,1,,,,VMC,TAKEOFF,"NTSB investigators may not have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The airplane was destroyed on impact with terrain.  The pilot was fatally injured.  A witness stated, ""I watched it start a bank turn to the left and then nosed straight down.  There were no other movements of the aircraft after it nosed down.  It did not spin while going down.  ...  I could not tell if the engine was running ... nor did I notice the propeller.  It appeared to me that there was no control of the aircraft after the left bank.""  The private pilot had 88.9 hours of total flight time and held a third class medical certificate.  The pilot listed he used Zoloft and noted no ""Mental disorders of any sort ... "" on the application for that medical certificate.  Extracts from the pilot's personal medical records showed, ""... self-discontinued Zoloft 2 weeks ago because of conflict with FAA licensing - patient feels fine off of it. ...  An entry approximately 6 weeks before the accident indicates "" ...occasional problem staying asleep - has taken Ambien in past ... no problem with concentration ... meds - Zoloft 50 mg per day, approximately 3 days per week ...""   Civil Aeromedical Institute (CAMI) reviewed that application and cautioned the pilot, ""Because of your history of anxiety and sleep disturbance, operation of aircraft is prohibited at any time new symptoms or adverse changes occur or any time medication and/or treatment is required.""  CAMI's Final Forensic Toxicology Accident Report stated, ""SERTRALINE detected in Liver 0.283 (ug/ml, ug/g), DESMETHYLSERTRALINE detected in Liver, and DESMETHYLSERTRALINE detected in Blood.""  Desmethylsertraline is the predominant metabolite of the antidepressant sertraline, Zoloft.  Sertraline, Zoloft is [a] SSRI antidepressant. ...  Warnings - may impair mental and/or physical ability required for the performance of potentially hazardous tasks (e.g., driving, operating heavy machinery).  No pre-impact anomalies were found with the airplane.",The loss of control on initial climbout for undetermined reasons.
DEN01LA102,05/27/2001,Accident,"Kanab, UT",United States,,,,,Non-Fatal,Non-Fatal,Destroyed,N6427H,Cessna,T207A,No,1,Reciprocating,Positioning,,,,1,VMC,CRUISE,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot departed for the cross-country flight with 10 gallons of fuel in the left tank and 17 gallons of fuel in the right tank.  He leveled off and reduced to cruise power. He said he was ""preparing to make switch from left to right tank....just before I could make the switch, the engine lost power.""  He attempted to switch tanks and restart the engine, but could not get a restart.  He performed a forced landing to a dirt road.  During the landing roll, the left wing struck a tree and the airplane rotated 180 degrees.  The engine was torn from the mount, both wing spars were bent, and the empennage sustained substantial damage.  A salvage team member noted, during the airplanes recovery, that there were approximately 10 to 15 gallons of fuel in the left tank; he said the right fuel tank was empty.","the pilot's inadequate fuel consumption planning, and the subsequent fuel starvation, which resulted in a loss of engine power."
FTW01LA130,05/27/2001,Accident,"Hondo, TX",United States,29.36° N,99.18° W,HDO,Hondo Municipal,Non-Fatal,Non-Fatal,Substantial,N9875E,Cessna,182P,No,1,Reciprocating,Personal,,,1,,VMC,CRUISE,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The engine power dropped to 900 rpm during cruise flight at 2,500 feet msl.  During the off airport landing, the nose landing gear dug into the soft terrain, and the airplane came to rest in the inverted position.  Water and debris were found mixed with the fuel drained from the gascolator.  The pilot reported that he found no water in the fuel during the preflight, and no discrepancies with the aircraft during the pre-takeoff run up of the engine.  A fuel sample from the fueling truck was not contaminated.","the pilot's inadequate preflight of the airplane, which resulted in a loss of engine power in cruise flight due to water in the fuel.  A contributing factor was the soft terrain encountered during the forced landing."
FTW01LA132,05/27/2001,Accident,"Fentress, TX",United States,,,,,Fatal(1),Fatal,Minor,N125PM,de Havilland,DHC-6 Twin Otter,No,2,Turbo Prop,Skydiving,1,,,22,VMC,MANEUVERING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

A de Havilland DHC-6 and a Beech King Air 90 were to make a formation air drop of skydivers from 14,000 feet msl.  The de Havilland was to be the lead aircraft with the King Air in trail.  As the skydivers prepared to exit, the King Air was traveling faster than the de Havilland, and the pilot of the King Air had to pitch up and bank right to avoid the de Havilland.  At that time, the pilot of the King Air lost sight of the de Havilland.  A video tape taken by one of the skydivers showed that at the time the skydivers exited, the King Air was above, right, and ahead of the de Havilland.  One of the King Air skydivers contacted the right propeller of the de Havilland.  Other skydivers then saw this skydiver spinning out of control.  One of these skydivers caught the injured skydiver and pulled the reserve handle; however, the reserve parachute did not fully inflate ""due to being cut by the propeller.""  The injured skydiver fell to the ground.  Both airplanes landed without further incident.  The operator reported that this was the first formation air drop flight for either pilot in a multi-engine aircraft.","the King Air pilot's inadequate in-flight planning/decision in that he failed to remain in the agreed on formation position, resulting in one of his skydiver's contacting the propeller of the de Havilland airplane.  A  contributing factor was the lack of total experience of both pilots in multiengine formation air drop flights."
LAX01LA193,05/27/2001,Accident,"Pauma Valley, CA",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N8287G,Cessna,177RG,No,1,Reciprocating,Personal,,,2,,VMC,APPROACH,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The instrument-rated pilot stated that he was descending in visual flight rules conditions, and was on the extended downwind leg for landing at the destination airport.  He intentionally flew into the top of what appeared to be an isolated, ""puffy"" cloud, expecting to be in the cloud only briefly and to see the runway again on the other side.  The cloud was more expansive than he anticipated and the airplane continued to descend in the cloud for a period of time until the pilot saw vegetation on a mountainside a short distance in front of them.  The pilot took evasive action and the airplane impacted upsloping mountainous terrain and slid to a stop through heavy sagebrush.",The pilot's intentional flight into instrument meteorological conditions and failure to maintain clearance from terrain during an approach for landing under visual flight rules.
LAX01LA205,05/27/2001,Accident,"Temecula, CA",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N337GD,Cessna,337G,No,2,Reciprocating,Personal,,,,2,IMC,CRUISE,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

While en route, following a roadway through a mountain valley and operating under visual flight rules in conditions of low ceiling and poor visibility, the airplane impacted marked power transmission wires approximately 120 feet above ground level.  The airplane's windshield was broken out, the cabin ceiling and doorposts were deformed, and a wing strut was damaged.  The pilot continued the flight to his intended destination, which was the nearest airport.  Weather at the nearest reporting point, 14 miles distant and approximately 1,500 feet lower elevation, reported scattered clouds at 1,000 feet agl and overcast ceiling at 1,500 feet agl.","The pilot's intentional flight into adverse weather while operating under visual flight rules, his failure to maintain a cruising altitude sufficient to remain clear of power transmission wires, and his failure to maintain a visual lookout sufficient to see and avoid the power transmission wires."
MIA01LA145,05/27/2001,Accident,"Spartanburg, SC",United States,,,SPA,Spartanburg Downtown Memorial,Non-Fatal,Non-Fatal,Substantial,N6667Z,Piper,PA-25-235,No,1,Reciprocating,Other Work Use,,,,1,VMC,CRUISE,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot departed on a glider tow flight with a glider in tow. The engine started running rough. The pilot informed the glider pilot that he was going to release him and return to the departure airport. The pilot made the release and turned towards the departure airport .The airplane experienced a total loss of engine power due to fuel exhaustion. He  declared an emergency on the UNICOM radio frequency, and initiated a forced landing to runway 05. He heard a Learjet pilot state that he was taking runway 23. He immediately made another call on the UNICOM frequency and requested the Learjet to hold his position with negative response. He observed the Learjet taxi out onto the runway. He made another call to the Leajet with negative response and started a turn towards a closed runway. His landing gear collided with trees and the airplane crashed on the apron of the closed runway.","The pilot's improper fuel management resulting in a total loss of engine power due to fuel exhaustion, forced landing, and subsequent in-flight collision with trees and terrain. Contributing to the accident was an unidentified pilot's failure to yield the right of way to an aircraft in distress."
NYC01LA133,05/27/2001,Accident,"Clinton, MD",United States,,,W32,Washington Exec/Hyde Field Apt,Non-Fatal,Non-Fatal,Substantial,N3341A,Piper,PA-22-135,No,1,Reciprocating,Personal,,,,1,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

During landing rollout, a gust of wind lifted the right wing upward, swerving the airplane to the left.  The pilot attempted to correct the situation, but not before the airplane ""ground looped.""  During the ground loop, the landing gear collapsed, causing the right wing to impact the runway and sustain damage.  The pilot reported 5 hours of flight experience in tail-wheel airplanes.  The winds reported at a nearby airport were from 210 degrees at 13 knots.","The pilot's failure to maintain directional control during landing rollout.  Factors related to the accident were the pilot's lack of experience in tail-wheeled airplanes, and the wind gusts."
CHI01FA146,05/28/2001,Accident,"Osage Beach, MO",United States,,,,,Fatal(3),Fatal,Substantial,N7331P,Piper,PA-24-250,No,1,Reciprocating,Personal,3,,,,VMC,MANEUVERING,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

During a forced landing the airplane stalled and impacted trees and terrain.  Witnesses to the accident reported that the engine was running rough and intermittently prior to the accident.  A global positioning system (GPS) receiver was recovered at the accident site and its track data was downloaded.  The recovered GPS data showed the airplane's ground speed was between 73.7 - 79.8 mph during the last 10 seconds of data.  The stall speed for the accident airplane with flaps retracted is 70 mph.  Post-accident fuel samples taken from the fuel strainer and both electric fuel pumps were contaminated with water and particulate.  Both electric fuel pumps contained rust, water, and particulate.  The carburetor float bowl and accelerator pump-well were contaminated with fine particulate resembling silicon sand.  The same fine particulate was observed in the carburetor idle tube passage and nozzle well.  Fuel samples taken from the right main fuel cell and fuel selector were clear of debris and water.  A fuel sample obtained from the departure airport was clear of debris and water.  The accident airplane had been operated approximately 164 hours in the last 35 years, 47 hours in the last 15 years, 35 hours in the last 5 years, and 35 hours in the last year.  According to Federal Aviation Regulations (FAR), the pilot-in-command is required to complete an aircraft preflight inspection in order to determine if the aircraft is in an airworthy condition.  According to FAA AC 20-43C, ""Fuel having a 'cloudy' appearance or definitely 'offcolor' should be suspected of contamination or deterioration and should not be used.""  According to Airplane Flying Handbook, ""Significant and/or consistent water or sediment contamination are grounds for further investigation by qualified maintenance personnel.  Each fuel tank sump should be drained during preflight and after refueling.""","Aircraft control not being maintained by the pilot during the forced landing and inadequate preflight inspection performed by the pilot.  Contributing factors to the accident were the fuel system contamination that resulted in the loss of engine power, the encountered stall, and trees."
CHI01LA150,05/28/2001,Accident,"Casco Twp., MI",United States,,,PVT,Robertson Field,Non-Fatal,Non-Fatal,Substantial,N726N,Perth Amboy,Bird CK,No,1,Reciprocating,Personal,,,1,,VMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot reported ""Engine stopped on takeoff at approx 150 feet, restarted with partial power, stopped again, than very low power.""  The aircraft owner reported the pilot performed taxi and run-up tests which took about 15 minutes.  He reported he watched the takeoff and the airplane lifted off about 300-400 feet down the runway.  The owner reported the pilot initiated a ""easy"" left turn at an altitude of 250 to 300 feet agl and about midway through the turn the engine quit.  He then heard the engine restart and quit again.  He reported the pilot made it back to the airport, but the airplane contacted a tree and impacted on the runway.  Inspection of the engine and fuel system failed to reveal any anomalies which would have resulted in the loss of engine power as described.  The weather observation recorded at Port Huron, Michigan, at 1640 reported a temperature of 21 degrees Celsius and a dew point of 14 degrees Celsius.   According to the Transport Canada Carburetor Icing chart, these conditions could produce moderate carburetor icing at cruise power and serious carburetor icing at decent power.",The engine failure due to carburetor ice.  Factors associated with the accident were the carburetor icing conditions which existed and the tree which was contacted during the forced landing.
